data,time,price1,price2,price3,price4,count
2016.10.24,00:05,1.0882,1.0882,1.0881,1.0881,4
2016.10.24,00:10,1.0882,1.0882,1.0881,1.0882,7
2016.10.24,00:15,1.0881,1.0882,1.0879,1.088,10
2016.10.24,00:20,1.0881,1.0881,1.088,1.088,2
2016.10.24,00:25,1.0881,1.0881,1.0879,1.0879,5
2016.10.24,00:30,1.088,1.088,1.0879,1.0879,6
2016.10.24,00:45,1.0878,1.088,1.0873,1.0879,26
2016.10.24,00:50,1.088,1.0881,1.0879,1.0879,18
2016.10.24,00:55,1.088,1.0881,1.0879,1.088,7
2016.10.24,01:00,1.0879,1.088,1.0878,1.0879,21
2016.10.24,01:05,1.088,1.088,1.0878,1.0879,4
2016.10.24,01:10,1.0878,1.088,1.0878,1.088,19
2016.10.24,01:15,1.0881,1.0882,1.088,1.0882,20
2016.10.24,01:20,1.0881,1.0882,1.088,1.0881,15
2016.10.24,01:25,1.088,1.0882,1.0879,1.0882,21
2016.10.24,01:30,1.0883,1.0884,1.0881,1.0883,17
2016.10.24,01:35,1.0884,1.0884,1.0883,1.0883,10
2016.10.24,01:40,1.0882,1.0883,1.0881,1.0881,4
2016.10.24,01:45,1.0882,1.0883,1.0881,1.0883,6
2016.10.24,01:50,1.0882,1.0882,1.0879,1.088,13
2016.10.24,01:55,1.0879,1.088,1.0877,1.0878,12
2016.10.24,02:00,1.0877,1.0879,1.0877,1.0878,4
2016.10.24,02:05,1.0879,1.0879,1.0877,1.0878,16
2016.10.24,02:10,1.0877,1.0879,1.0877,1.0879,5
2016.10.24,02:15,1.088,1.088,1.0877,1.0877,10
2016.10.24,02:20,1.0878,1.088,1.0877,1.0879,6
2016.10.24,02:25,1.088,1.0883,1.088,1.088,7
2016.10.24,02:30,1.0879,1.088,1.0879,1.088,6
2016.10.24,02:35,1.0881,1.0882,1.0881,1.0881,9
2016.10.24,02:40,1.0882,1.0882,1.0877,1.0878,11
2016.10.24,02:45,1.0877,1.0881,1.0877,1.088,16
2016.10.24,02:50,1.0879,1.088,1.0877,1.088,16
2016.10.24,02:55,1.0881,1.0881,1.0878,1.0879,15
2016.10.24,03:00,1.088,1.0883,1.088,1.088,9
2016.10.24,03:05,1.0881,1.0883,1.0881,1.0881,9
2016.10.24,03:10,1.088,1.0883,1.0879,1.0882,11
2016.10.24,03:15,1.0881,1.0881,1.0879,1.0879,17
2016.10.24,03:20,1.0878,1.088,1.0877,1.0878,23
2016.10.24,03:25,1.0877,1.0879,1.0877,1.0877,17
2016.10.24,03:30,1.0878,1.0879,1.0877,1.0878,17
2016.10.24,03:35,1.0877,1.0878,1.0877,1.0878,8
2016.10.24,03:40,1.0879,1.0881,1.0879,1.088,4
2016.10.24,03:45,1.0881,1.0882,1.0878,1.0879,11
2016.10.24,03:50,1.0878,1.0878,1.0877,1.0877,2
2016.10.24,03:55,1.0876,1.0876,1.0874,1.0874,17
2016.10.24,04:00,1.0873,1.0875,1.0871,1.0872,26
2016.10.24,04:05,1.0873,1.0874,1.0871,1.0872,16
2016.10.24,04:10,1.0871,1.0872,1.0867,1.0867,41
2016.10.24,04:15,1.0868,1.0869,1.0868,1.0868,9
2016.10.24,04:20,1.0867,1.0868,1.0866,1.0866,16
2016.10.24,04:25,1.0867,1.0867,1.0863,1.0865,13
2016.10.24,04:30,1.0864,1.0867,1.086,1.0862,31
2016.10.24,04:35,1.0861,1.0864,1.086,1.0864,16
2016.10.24,04:40,1.0863,1.0864,1.0859,1.086,26
2016.10.24,04:45,1.0861,1.0862,1.0859,1.0861,55
2016.10.24,04:50,1.086,1.0861,1.0859,1.086,9
2016.10.24,04:55,1.0861,1.0861,1.0859,1.0859,39
2016.10.24,05:00,1.086,1.0864,1.086,1.0863,20
2016.10.24,05:05,1.0862,1.0863,1.0862,1.0863,6
2016.10.24,05:10,1.0864,1.0864,1.0862,1.0863,4
2016.10.24,05:15,1.0862,1.0863,1.0862,1.0862,3
2016.10.24,05:20,1.0861,1.0862,1.086,1.0861,11
2016.10.24,05:25,1.086,1.0862,1.086,1.0861,14
2016.10.24,05:30,1.0862,1.0865,1.0861,1.0864,23
2016.10.24,05:35,1.0863,1.0863,1.0861,1.0861,5
2016.10.24,05:40,1.0862,1.0863,1.0862,1.0862,3
2016.10.24,05:45,1.0863,1.0863,1.0862,1.0863,13
2016.10.24,05:50,1.0864,1.0864,1.0864,1.0864,1
2016.10.24,05:55,1.0863,1.0864,1.0862,1.0862,8
2016.10.24,06:00,1.0863,1.0864,1.0862,1.0864,10
2016.10.24,06:05,1.0863,1.0864,1.0862,1.0862,14
2016.10.24,06:10,1.0863,1.0864,1.0862,1.0863,9
2016.10.24,06:15,1.0864,1.0864,1.0863,1.0863,2
2016.10.24,06:20,1.0864,1.0865,1.0864,1.0864,3
2016.10.24,06:25,1.0865,1.0867,1.0864,1.0866,36
2016.10.24,06:30,1.0867,1.0869,1.0866,1.0866,30
2016.10.24,06:35,1.0867,1.0869,1.0866,1.0869,17
2016.10.24,06:40,1.0868,1.0869,1.0868,1.0868,13
2016.10.24,06:45,1.0869,1.087,1.0868,1.087,8
2016.10.24,06:50,1.0869,1.087,1.0869,1.0869,3
